tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pct,7,1cfc5961253150e57f78c72382088daaa1b666a8,INFO,task hung,usbdev_open,INFO: task hung in usbdev_open,cover_eval_cp,1,,
sect_pct,7,50b1d6f2fe0ed12b1cab0d134516164980c7323d,BUG,unable to handle kernel paging request,sys_pselect6,BUG: unable to handle kernel paging request in sys_pselect6,cover_eval_cp,23,,
sect_pct,7,36a86325c6d0d517177cae0323b51ae9da7de8fa,BUG,unable to handle kernel paging request,filldir,BUG: unable to handle kernel paging request in filldir,cover_eval_cp,16,,
sect_pct,7,64c9dbbe5fea926fec0323c95cea065ae891eda6,INFO,task hung,start_this_handle,INFO: task hung in start_this_handle,cover_eval_cp,1,,
sect_pct,7,df87226af75e2e906503e976819e1403142d677a,BUG,soft lockup,addrconf_rs_timer,BUG: soft lockup in addrconf_rs_timer,cover_eval_cp,25,,
sect_pct,7,dd029cbcea11e425c68d1b389d148057eb3cc789,BUG,soft lockup,ip_list_rcv,BUG: soft lockup in ip_list_rcv,cover_eval_cp,1,,
sect_pct,7,63de2be03e3a7eda16f7bce15a9a80a4da54ae9c,INFO,task hung,tls_sk_proto_close,INFO: task hung in tls_sk_proto_close,cover_eval_cp,1,,
sect_pct,7,123a12bbb2b912c15afc6a03b6ae2d782111a919,INFO,task hung,do_coredump,INFO: task hung in do_coredump,cover_eval_cp,1,,
sect_pct,7,c55cf6656ce82c7ebd3e26802512fcba3d7d28ca,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: exit status NUM err signal: killed,cover_eval_cp,1,,
sect_pct,7,9c2a907000712f890b6f1eaf0f238a20d34e5de6,BUG,soft lockup,wg_expired_send_keepalive,BUG: soft lockup in wg_expired_send_keepalive,cover_eval_cp,1,,
sect_pct,7,3e51bb4cea12a057ab4bf22cba3cefdafeb87eaf,BUG,stack guard page was hit,io_sq_thread,BUG: stack guard page was hit in io_sq_thread,cover_eval_cp,7,,
sect_pct,7,13c8d2415e0078a2072f24b6aee8ad0b1bbad292,INFO,task hung,del_device_store,INFO: task hung in del_device_store,cover_eval_cp,1,,
sect_pct,7,11d137c334a427322898aa51903aed548ece812d,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: exit status NUM err exit status NUM,cover_eval_cp,78,,
sect_pct,7,dfc109c0cf7ead121984212eccd30401ec6dd3eb,WARNING,,ip_rt_bug,WARNING in ip_rt_bug,cover_eval_cp,2,,
sect_pct,7,3a4c59087c2c4236dac8c3ebe5d28f5c5fe5f3ff,INFO,task hung,switchdev_deferred_process_work,INFO: task hung in switchdev_deferred_process_work,cover_eval_cp,1,,
sect_pct,7,fe781548d0a22bdbc3f703fc26dd1c43b0da5914,INFO,task hung,linkwatch_event,INFO: task hung in linkwatch_event,cover_eval_cp,3,,
sect_pct,7,ce6ef2b22dd47563c725e7c93f7410f29021547b,OTHER,possible deadlock,task_rq_lock,possible deadlock in task_rq_lock,cover_eval_cp,41,,
sect_pct,7,f73b3116ad434cc9b97b908060b5e73752df3be7,WARNING,,restore_regulatory_settings,WARNING in restore_regulatory_settings,cover_eval_cp,4,,
sect_pct,7,10ea2b759f72ff5dd26bce896d853e10f00de743,OTHER,,,unregister_netdevice: waiting for DEV to become free,cover_eval_cp,1,,
sect_pct,7,b83ebc0f722370f9f7e120e759d663eb44f55efc,OTHER,,,suppressed report,cover_eval_cp,1,,
sect_pct,7,c7bef9a5b3324959844ec200a0dc227b249903f9,INFO,task hung,iterate_supers,INFO: task hung in iterate_supers,cover_eval_cp,2,,
sect_pct,7,d713702b5b286b7704349bdd865755658baff3e8,KASAN,use-after-free Read,em28xx_init_extension,KASAN: use-after-free Read in em28xx_init_extension,cover_eval_cp,1,,
sect_pct,7,d870630cedefaaf2c870f9459f559a5bebb8e843,INFO,task hung,nsim_create,INFO: task hung in nsim_create,cover_eval_cp,1,,
sect_pct,7,439c37d288d4f26a33a6c7e5c57a97791453a447,OTHER,,,lost connection to test machine,cover_eval_cp,0,,
sect_pct,7,f311884ffb3006f0917bb38c3d12a48f2cafb3b0,BUG,soft lockup,NF_HOOK,BUG: soft lockup in NF_HOOK,cover_eval_cp,1,,
sect_pct,7,b439149adc4a059ec80b6e79575ba4b1ade460f3,WARNING,refcount bug,j1939_xtp_rx_cts,WARNING: refcount bug in j1939_xtp_rx_cts,cover_eval_cp,100,,
sect_pct,7,eb69e7ea1402b04195836e33cd82ead332e172b9,OTHER,possible deadlock,input_inject_event,possible deadlock in input_inject_event,cover_eval_cp,1,,
sect_pct,7,c16d8a13a5b01b10dd5b51c8277b2a34eba56d17,BUG,unable to handle kernel paging request,do_sys_poll,BUG: unable to handle kernel paging request in do_sys_poll,cover_eval_cp,30,,
sect_pct,7,5fe68c0f763c3644339804aa8a096294a4115723,BUG,soft lockup,neigh_timer_handler,BUG: soft lockup in neigh_timer_handler,cover_eval_cp,1,,
sect_pct,7,dac17913a5b5246a1d1bd6734441801e03ce2b6d,BUG,stack guard page was hit,corrupted,BUG: stack guard page was hit in corrupted,cover_eval_cp,33,,
sect_pct,7,f5e68e16341d8bc960cd76ec3509b3e7a0f58dff,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: failed to write control pipe: write |NUM: broken pipe,cover_eval_cp,2,,
sect_pct,7,4c1dceb01dec061b63593f149cf10429fa012309,OTHER,possible deadlock,__perf_install_in_context,possible deadlock in __perf_install_in_context,cover_eval_cp,2,,
sect_pct,7,41b74e6c247526f8fa6cc88d9db735c26704c66b,WARNING,refcount bug,j1939_session_put,WARNING: refcount bug in j1939_session_put,cover_eval_cp,100,,
